                    *********************************************************************************
                    *  Z= 95 A=243: Positive-Parity Spin-dependent Level Density [MeV-1] for AM243  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.106  2.00E+00 1.41E+01 1.88E+02 0.00E+00 1.00E+00 1.76E+00 1.51E+00 1.51E+00 1.51E+00 1.51E+00 1.51E+00 7.56E-01 7.56E-01 7.56E-01 7.56E-01 7.56E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.150  7.00E+00 2.50E+01 2.77E+02 1.46E+00 2.93E+00 3.41E+00 3.98E+00 3.15E+00 2.52E+00 1.26E+00 1.26E+00 1.26E+00 1.26E+00 6.30E-01 6.30E-01 6.30E-01 6.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.184  1.70E+01 5.41E+01 6.36E+02 1.27E+00 4.33E+00 7.05E+00 8.62E+00 7.02E+00 6.50E+00 5.58E+00 3.79E+00 3.41E+00 1.62E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.213  3.70E+01 1.03E+02 1.19E+03 4.51E+00 8.99E+00 1.19E+01 1.53E+01 1.43E+01 1.22E+01 9.39E+00 8.11E+00 6.83E+00 4.32E+00 2.70E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.238  7.90E+01 2.38E+02 2.96E+03 7.27E+00 1.80E+01 2.45E+01 2.90E+01 2.84E+01 3.10E+01 2.52E+01 2.00E+01 1.89E+01 1.28E+01 1.04E+01 4.86E+00 3.24E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.261  1.58E+02 3.94E+02 5.02E+03 1.16E+01 2.78E+01 4.23E+01 4.72E+01 4.41E+01 4.69E+01 3.96E+01 3.46E+01 3.09E+01 2.48E+01 1.82E+01 1.13E+01 6.48E+00 3.78E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.281  3.12E+02 8.34E+02 1.10E+04 2.45E+01 5.30E+01 7.81E+01 9.36E+01 9.36E+01 1.01E+02 9.02E+01 7.48E+01 6.22E+01 4.97E+01 4.16E+01 2.59E+01 2.00E+01 1.14E+01 7.20E+00 3.24E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.301  5.86E+02 1.36E+03 1.84E+04 3.84E+01 8.37E+01 1.23E+02 1.48E+02 1.49E+02 1.62E+02 1.45E+02 1.28E+02 1.09E+02 8.46E+01 6.55E+01 4.43E+01 3.20E+01 2.27E+01 1.37E+01 7.02E+00 3.24E+00 1.62E+00 1.08E+00 5.40E-01 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
