                    *********************************************************************************
                    *  Z= 93 A=237: Positive-Parity Spin-dependent Level Density [MeV-1] for NP237  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.108  3.00E+00 2.01E+01 2.17E+02 1.00E+00 1.73E+00 3.46E+00 2.93E+00 2.19E+00 2.19E+00 1.46E+00 1.46E+00 1.46E+00 1.46E+00 7.32E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.152  9.00E+00 3.09E+01 3.45E+02 8.33E-01 2.89E+00 4.98E+00 5.10E+00 4.27E+00 3.05E+00 2.44E+00 1.83E+00 1.22E+00 1.22E+00 1.22E+00 1.22E+00 6.10E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.187  2.20E+01 6.64E+01 7.45E+02 2.47E+00 6.52E+00 9.38E+00 9.79E+00 7.86E+00 7.01E+00 7.51E+00 4.72E+00 4.37E+00 2.09E+00 1.57E+00 1.05E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.215  4.40E+01 1.17E+02 1.35E+03 4.04E+00 1.18E+01 1.51E+01 1.68E+01 1.31E+01 1.22E+01 1.26E+01 8.90E+00 8.03E+00 5.23E+00 3.66E+00 1.57E+00 1.05E+00 1.05E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.241  9.00E+01 2.49E+02 3.03E+03 8.61E+00 1.90E+01 2.99E+01 3.24E+01 2.85E+01 2.92E+01 2.63E+01 2.25E+01 1.66E+01 1.33E+01 8.88E+00 5.75E+00 4.18E+00 1.57E+00 1.05E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.264  1.73E+02 4.13E+02 5.14E+03 1.40E+01 3.00E+01 4.61E+01 5.23E+01 4.94E+01 4.77E+01 4.25E+01 3.35E+01 2.95E+01 2.48E+01 1.46E+01 1.10E+01 8.36E+00 4.70E+00 1.57E+00 1.05E+00 1.05E+00 5.23E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.285  3.33E+02 8.65E+02 1.11E+04 2.76E+01 5.94E+01 8.66E+01 1.02E+02 9.92E+01 1.04E+02 9.38E+01 7.67E+01 6.67E+01 4.93E+01 3.42E+01 2.51E+01 1.67E+01 1.10E+01 5.75E+00 3.66E+00 1.57E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.305  6.23E+02 1.46E+03 1.88E+04 4.68E+01 1.03E+02 1.46E+02 1.75E+02 1.69E+02 1.67E+02 1.56E+02 1.30E+02 1.07E+02 8.43E+01 6.22E+01 3.92E+01 2.82E+01 1.88E+01 1.15E+01 7.32E+00 3.66E+00 1.57E+00 1.05E+00 1.05E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
