                    *********************************************************************************
                    *  Z= 91 A=233: Positive-Parity Spin-dependent Level Density [MeV-1] for PA233  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.109  3.00E+00 2.13E+01 2.38E+02 1.00E+00 2.72E+00 3.16E+00 2.88E+00 2.16E+00 2.16E+00 1.44E+00 1.44E+00 1.44E+00 7.20E-01 7.20E-01 7.20E-01 7.20E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.154  9.00E+00 2.25E+01 2.80E+02 8.33E-01 2.27E+00 2.63E+00 2.40E+00 2.40E+00 2.40E+00 2.40E+00 1.80E+00 1.20E+00 1.20E+00 1.20E+00 6.00E-01 6.00E-01 6.00E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.188  1.60E+01 4.00E+01 4.74E+02 2.46E+00 4.00E+00 5.08E+00 5.15E+00 5.35E+00 4.12E+00 2.57E+00 2.06E+00 2.06E+00 2.06E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.217  3.00E+01 7.07E+01 7.93E+02 4.02E+00 8.20E+00 9.43E+00 1.00E+01 8.63E+00 7.72E+00 5.66E+00 5.15E+00 2.57E+00 2.06E+00 2.06E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.243  6.00E+01 1.64E+02 1.94E+03 5.36E+00 1.59E+01 1.89E+01 2.18E+01 2.05E+01 1.98E+01 1.77E+01 1.48E+01 9.78E+00 6.17E+00 4.63E+00 2.06E+00 2.06E+00 1.54E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.266  1.19E+02 3.12E+02 3.64E+03 1.27E+01 2.71E+01 4.03E+01 4.31E+01 3.84E+01 3.73E+01 2.82E+01 2.65E+01 2.01E+01 1.44E+01 9.26E+00 5.15E+00 2.57E+00 2.06E+00 2.06E+00 1.03E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.287  2.44E+02 6.84E+02 8.36E+03 2.76E+01 4.97E+01 7.39E+01 8.53E+01 8.26E+01 8.63E+01 7.08E+01 6.23E+01 4.83E+01 3.29E+01 2.42E+01 1.65E+01 9.78E+00 5.15E+00 2.57E+00 2.06E+00 1.54E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.307  4.68E+02 1.11E+03 1.40E+04 4.37E+01 7.75E+01 1.13E+02 1.32E+02 1.28E+02 1.30E+02 1.17E+02 1.04E+02 8.14E+01 6.30E+01 4.63E+01 2.68E+01 2.01E+01 1.08E+01 5.66E+00 2.57E+00 2.06E+00 1.54E+00 1.03E+00 5.15E-01 5.15E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
